"matchID","gameNumber","roundtype","team","team-comp","timePlayed","fightsFought","fightsWon","fightsLost"
"2375","4","Attack","338","genji|tracer|mercy|zenyatta|dva|winston","164","3","0","3"
"2375","3","Well","333","genji|tracer|mercy|zenyatta|dva|winston","158","3","3","0"
"2375","3","Well","333","mccree|tracer|mercy|zenyatta|dva|winston","97","2","0","2"
"2375","3","Well","338","soldier76|tracer|mercy|zenyatta|dva|winston","20","0","0","0"
"2375","3","Ruins","333","widowmaker|tracer|mercy|zenyatta|dva|winston","173","3","3","0"
"2375","3","Well","338","mccree|tracer|mercy|zenyatta|dva|winston","235","5","2","3"
"2375","3","Ruins","338","widowmaker|tracer|mercy|dva|winston|zarya","10","0","0","0"
"2375","3","Ruins","338","widowmaker|tracer|mercy|zenyatta|dva|winston","163","3","0","3"
"2375","3","Lighthouse","333","mccree|tracer|mercy|zenyatta|dva|winston","54","1","0","1"
"2375","3","Lighthouse","333","pharah|tracer|mercy|zenyatta|dva|winston","207","4","3","1"
"2375","2","Defense","333","genji|tracer|mercy|zenyatta|dva|orisa","9","0","0","0"
"2375","3","Lighthouse","338","pharah|tracer|lucio|mercy|dva|winston","291","6","3","3"
"2375","3","Lighthouse","338","tracer|lucio|mercy|dva|winston|zarya","9","0","0","0"
"2375","3","Lighthouse","333","genji|tracer|lucio|zenyatta|dva|winston","4","0","0","0"
"2375","3","Lighthouse","333","genji|tracer|mercy|zenyatta|dva|winston","35","1","0","1"
"2375","2","Defense","338","genji|tracer|mercy|moira|dva|winston","14","0","0","0"
"2375","2","Defense","338","junkrat|tracer|mercy|moira|dva|winston","11","0","0","0"
"2375","2","Defense","338","junkrat|tracer|lucio|moira|dva|winston","16","0","0","0"
"2375","2","Attack","333","widowmaker|tracer|mercy|zenyatta|dva|winston","116","2","1","1"
"2375","2","Attack","333","sombra|tracer|mercy|zenyatta|dva|winston","6","0","0","0"
"2375","2","Attack","333","genji|sombra|mercy|zenyatta|dva|winston","2","0","0","0"
"2375","2","Defense","333","junkrat|tracer|mercy|zenyatta|dva|orisa","2","0","0","0"
"2375","2","Defense","338","widowmaker|tracer|mercy|zenyatta|dva|winston","65","1","0","1"
"2375","2","Attack","333","junkrat|widowmaker|mercy|zenyatta|dva|winston","188","4","1","2"
"2375","2","Attack","333","widowmaker|genji|mercy|zenyatta|dva|winston","7","0","0","0"
"2375","2","Attack","333","genji|tracer|mercy|zenyatta|dva|winston","152","2","2","0"
"2375","2","Attack","333","genji|soldier76|tracer|zenyatta|dva|winston","3","0","0","0"
"2375","2","Defense","333","genji|tracer|mercy|zenyatta|dva|winston","163","2","1","1"
"2375","2","Defense","333","genji|tracer|lucio|zenyatta|dva|winston","16","0","0","0"
"2375","2","Defense","338","genji|tracer|mercy|zenyatta|dva|winston","368","7","3","3"
"2375","2","Defense","333","junkrat|tracer|mercy|zenyatta|dva|winston","29","0","0","0"
"2375","2","Defense","333","junkrat|widowmaker|mercy|zenyatta|dva|orisa","352","8","5","2"
"2375","2","Defense","333","junkrat|widowmaker|mercy|zenyatta|dva|winston","3","0","0","0"
"2375","2","Attack","338","genji|tracer|mercy|zenyatta|dva|winston","574","10","3","6"
"2375","1","Attack","333","genji|tracer|mercy|zenyatta|dva|winston","354","9","4","5"
"2375","1","Defense","338","mccree|tracer|mercy|zenyatta|dva|winston","33","1","0","1"
"2375","1","Defense","338","junkrat|mccree|mercy|zenyatta|dva|winston","321","8","5","3"
"2375","1","Attack","338","genji|mccree|mercy|zenyatta|dva|winston","153","4","2","2"
"2375","1","Attack","338","mccree|tracer|mercy|zenyatta|dva|winston","327","7","3","3"
"2375","1","Defense","333","genji|tracer|mercy|zenyatta|dva|winston","395","9","5","3"
"2375","1","Defense","333","widowmaker|genji|mercy|zenyatta|dva|winston","85","2","0","2"
"2375","4","Attack","338","soldier76|tracer|mercy|zenyatta|dva|winston","117","2","1","1"
"2375","4","Attack","338","mccree|tracer|mercy|zenyatta|dva|winston","152","2","0","2"
"2375","4","Defense","333","soldier76|tracer|mercy|zenyatta|dva|winston","433","7","6","1"
"2375","4","Defense","338","soldier76|tracer|ana|mercy|dva|winston","97","2","1","1"
"2375","4","Defense","338","widowmaker|tracer|ana|mercy|dva|winston","5","0","0","0"
"2375","4","Defense","338","widowmaker|tracer|mercy|zenyatta|dva|winston","121","4","1","2"
"2375","4","Attack","333","soldier76|tracer|lucio|zenyatta|dva|winston","3","0","0","0"
"2375","4","Attack","333","soldier76|tracer|mercy|zenyatta|dva|winston","170","3","1","1"
"2375","4","Attack","333","bastion|soldier76|tracer|mercy|zenyatta|winston","50","3","2","1"
"2379","1","Attack","328","widowmaker|tracer|mercy|zenyatta|dva|winston","140","2","0","2"
"2379","1","Attack","328","mccree|tracer|mercy|zenyatta|dva|winston","120","2","0","2"
"2379","1","Defense","334","widowmaker|doomfist|mercy|zenyatta|dva|winston","260","4","4","0"
"2379","1","Defense","328","soldier76|tracer|mercy|zenyatta|dva|winston","54","1","0","1"
"2379","1","Attack","334","genji|tracer|mercy|zenyatta|dva|winston","54","1","1","0"
"2379","2","Attack","328","widowmaker|tracer|mercy|zenyatta|dva|winston","79","2","1","1"
"2379","2","Attack","328","soldier76|tracer|mercy|zenyatta|dva|winston","32","0","0","0"
"2379","2","Attack","328","reaper|tracer|mercy|zenyatta|dva|winston","407","9","1","8"
"2379","2","Defense","334","genji|tracer|ana|mercy|dva|winston","95","2","1","1"
"2379","2","Defense","334","genji|tracer|mercy|zenyatta|dva|winston","81","1","1","0"
"2379","2","Defense","334","junkrat|tracer|mercy|zenyatta|dva|winston","337","8","7","1"
"2379","2","Defense","334","junkrat|tracer|lucio|zenyatta|dva|winston","5","0","0","0"
"2379","2","Defense","328","junkrat|widowmaker|mercy|zenyatta|dva|orisa","71","2","1","1"
"2379","2","Defense","328","junkrat|widowmaker|mercy|zenyatta|dva|winston","18","0","0","0"
"2379","2","Defense","328","mccree|tracer|mercy|zenyatta|dva|winston","20","1","0","1"
"2379","2","Defense","328","doomfist|tracer|mercy|zenyatta|dva|winston","16","0","0","0"
"2379","2","Attack","334","widowmaker|tracer|lucio|mercy|dva|winston","11","0","0","0"
"2379","2","Attack","334","genji|tracer|lucio|mercy|dva|winston","1","0","0","0"
"2379","2","Attack","334","genji|tracer|lucio|zenyatta|dva|winston","113","3","2","1"
"2379","3","Well","328","pharah|tracer|lucio|moira|dva|winston","3","0","0","0"
"2379","3","Well","328","pharah|tracer|mercy|moira|dva|winston","57","1","0","1"
"2379","3","Well","328","mccree|tracer|mercy|moira|dva|winston","2","0","0","0"
"2379","3","Well","328","mccree|tracer|mercy|zenyatta|dva|winston","238","5","2","3"
"2379","3","Well","328","soldier76|tracer|mercy|zenyatta|dva|winston","11","0","0","0"
"2379","3","Well","328","soldier76|tracer|lucio|mercy|dva|winston","43","1","0","1"
"2379","3","Well","328","soldier76|tracer|lucio|mercy|dva|zarya","13","0","0","0"
"2379","3","Well","334","pharah|tracer|lucio|mercy|dva|winston","367","7","5","2"
"2379","3","Ruins","328","widowmaker|tracer|lucio|zenyatta|dva|winston","3","0","0","0"
"2379","3","Ruins","328","widowmaker|tracer|mercy|zenyatta|dva|winston","161","4","1","3"
"2379","3","Ruins","328","soldier76|tracer|mercy|zenyatta|dva|winston","74","1","0","1"
"2379","3","Ruins","328","torbjorn|soldier76|mercy|dva|winston|zarya","6","0","0","0"
"2379","3","Ruins","334","widowmaker|genji|lucio|zenyatta|dva|winston","4","0","0","0"
"2379","3","Ruins","334","widowmaker|genji|mercy|zenyatta|dva|winston","240","5","4","1"
"2379","4","Attack","328","lucio|moira|dva|reinhardt|roadhog|zarya","40","1","0","1"
