"matchID","gameNumber","roundNumber","startTimestamp","fightLength","killCountBlue","killCountRed","ultCountBlue","ultCountRed","ultsUpBlue","ultsUpRed","firstBloodBlue","deathSequence","ultsBlue","ultsRed","tcStringBlue","tcStringRed"
"2375","4","2","19","18","3","1","0","0","0","0","1","R_zenyatta|B_soldier76|R_mercy|R_zenyatta",,,"soldier76|tracer|ana|mercy|dva|winston","soldier76|tracer|mercy|zenyatta|dva|winston"
"2375","4","2","61","50","1","10","3","3","2","0","0","B_soldier76|R_zenyatta|B_soldier76|B_dva|B_mercy|B_ana|B_winston|B_dva|B_tracer|B_mercy|B_widowmaker","mercy|tracer|ana","soldier76|winston|zenyatta","soldier76|tracer|ana|mercy|dva|winston","soldier76|tracer|mercy|zenyatta|dva|winston"
"2375","4","2","147","14","2","2","2","3","2","2","1","R_winston|B_tracer|R_dva|B_widowmaker","tracer|winston","mercy|tracer|winston","widowmaker|tracer|mercy|zenyatta|dva|winston","soldier76|tracer|mercy|zenyatta|dva|winston"
"2375","4","2","184","5","1","0","0","0","0","0","1","R_mercy",,,"widowmaker|tracer|mercy|zenyatta|dva|winston","bastion|soldier76|tracer|mercy|zenyatta|winston"
"2375","3","1","19","4","2","0","0","0","0","0","1","R_winston|R_mercy",,,"pharah|tracer|lucio|mercy|dva|winston","genji|tracer|mercy|zenyatta|dva|winston"
"2375","3","1","73","10","3","0","0","0","0","0","1","R_tracer|R_mccree|R_winston",,,"pharah|tracer|lucio|mercy|dva|winston","mccree|tracer|mercy|zenyatta|dva|winston"
"2375","3","1","108","82","9","11","4","6","3","3","1","R_tracer|R_dva|B_pharah|R_zenyatta|R_zenyatta|B_lucio|B_pharah|R_mercy|B_mercy|B_winston|R_winston|B_dva|B_lucio|R_mercy|R_zenyatta|B_tracer|B_mercy|B_winston|R_pharah|B_pharah","pharah|mercy|winston|tracer","zenyatta|mercy|tracer|winston|tracer|pharah","pharah|tracer|lucio|mercy|dva|winston","pharah|tracer|mercy|zenyatta|dva|winston"
"2375","3","1","219","8","0","2","1","0","0","0","0","B_winston|B_mercy","pharah",,"pharah|tracer|lucio|mercy|dva|winston","pharah|tracer|mercy|zenyatta|dva|winston"
"2375","3","1","245","6","0","1","1","0","3","1","0","B_lucio","winston",,"pharah|tracer|lucio|mercy|dva|winston","pharah|tracer|mercy|zenyatta|dva|winston"
"2375","3","1","269","29","7","0","4","3","4","1","1","R_zenyatta|R_winston|R_tracer|R_dva|R_winston|R_winston|R_mercy","lucio|winston|pharah|mercy","tracer|pharah|winston","pharah|tracer|lucio|mercy|dva|winston","pharah|tracer|mercy|zenyatta|dva|winston"
