"matchID","gameNumber","roundtype","team1","team2","teamcomp1","teamcomp2","timePlayed","fights","fightsWonT1","fightsWonT2"
"2375","4","Attack","333","338","soldier76|tracer|mercy|zenyatta|dva|winston","soldier76|tracer|ana|mercy|dva|winston","94","2","1","1"
"2375","4","Defense","338","333","widowmaker|tracer|ana|mercy|dva|winston","soldier76|tracer|mercy|zenyatta|dva|winston","5","0","0","0"
"2375","4","Attack","333","338","soldier76|tracer|mercy|zenyatta|dva|winston","widowmaker|tracer|ana|mercy|dva|winston","5","0","0","0"
"2375","4","Defense","338","333","widowmaker|tracer|mercy|zenyatta|dva|winston","soldier76|tracer|mercy|zenyatta|dva|winston","71","1","0","0"
"2375","3","Well","333","338","mccree|tracer|mercy|zenyatta|dva|winston","mccree|tracer|mercy|zenyatta|dva|winston","97","2","0","2"
"2375","3","Well","338","333","mccree|tracer|mercy|zenyatta|dva|winston","genji|tracer|mercy|zenyatta|dva|winston","138","3","0","3"
"2375","3","Lighthouse","338","333","pharah|tracer|lucio|mercy|dva|winston","genji|tracer|lucio|zenyatta|dva|winston","4","0","0","0"
"2375","3","Lighthouse","333","338","genji|tracer|lucio|zenyatta|dva|winston","pharah|tracer|lucio|mercy|dva|winston","4","0","0","0"
"2375","3","Lighthouse","338","333","pharah|tracer|lucio|mercy|dva|winston","genji|tracer|mercy|zenyatta|dva|winston","35","1","1","0"
"2375","3","Lighthouse","333","338","genji|tracer|mercy|zenyatta|dva|winston","pharah|tracer|lucio|mercy|dva|winston","35","1","0","1"
"2375","3","Lighthouse","338","333","pharah|tracer|lucio|mercy|dva|winston","mccree|tracer|mercy|zenyatta|dva|winston","54","1","1","0"
"2375","3","Lighthouse","333","338","mccree|tracer|mercy|zenyatta|dva|winston","pharah|tracer|lucio|mercy|dva|winston","54","1","0","1"
"2375","3","Lighthouse","338","333","pharah|tracer|lucio|mercy|dva|winston","pharah|tracer|mercy|zenyatta|dva|winston","198","4","1","3"
"2375","3","Lighthouse","333","338","pharah|tracer|mercy|zenyatta|dva|winston","pharah|tracer|lucio|mercy|dva|winston","198","4","3","1"
"2375","3","Lighthouse","338","333","tracer|lucio|mercy|dva|winston|zarya","pharah|tracer|mercy|zenyatta|dva|winston","9","0","0","0"
"2375","3","Lighthouse","333","338","pharah|tracer|mercy|zenyatta|dva|winston","tracer|lucio|mercy|dva|winston|zarya","9","0","0","0"
"2375","3","Ruins","338","333","widowmaker|tracer|mercy|zenyatta|dva|winston","widowmaker|tracer|mercy|zenyatta|dva|winston","163","3","0","3"
"2375","3","Ruins","333","338","widowmaker|tracer|mercy|zenyatta|dva|winston","widowmaker|tracer|mercy|zenyatta|dva|winston","163","3","3","0"
"2375","3","Ruins","338","333","widowmaker|tracer|mercy|dva|winston|zarya","widowmaker|tracer|mercy|zenyatta|dva|winston","10","0","0","0"
"2375","3","Ruins","333","338","widowmaker|tracer|mercy|zenyatta|dva|winston","widowmaker|tracer|mercy|dva|winston|zarya","10","0","0","0"
"2375","3","Well","338","333","mccree|tracer|mercy|zenyatta|dva|winston","mccree|tracer|mercy|zenyatta|dva|winston","97","2","2","0"
"2375","2","Defense","338","333","junkrat|tracer|lucio|moira|dva|winston","genji|tracer|mercy|zenyatta|dva|winston","16","0","0","0"
"2375","2","Attack","333","338","sombra|tracer|mercy|zenyatta|dva|winston","genji|tracer|mercy|zenyatta|dva|winston","6","0","0","0"
"2375","2","Defense","338","333","genji|tracer|mercy|zenyatta|dva|winston","genji|sombra|mercy|zenyatta|dva|winston","2","0","0","0"
"2375","2","Attack","333","338","genji|sombra|mercy|zenyatta|dva|winston","genji|tracer|mercy|zenyatta|dva|winston","2","0","0","0"
"2375","2","Defense","338","333","genji|tracer|mercy|moira|dva|winston","genji|tracer|mercy|zenyatta|dva|winston","14","0","0","0"
"2375","2","Attack","333","338","genji|tracer|mercy|zenyatta|dva|winston","genji|tracer|mercy|moira|dva|winston","14","0","0","0"
"2375","2","Defense","338","333","junkrat|tracer|mercy|moira|dva|winston","genji|tracer|mercy|zenyatta|dva|winston","11","0","0","0"
"2375","2","Defense","338","333","genji|tracer|mercy|zenyatta|dva|winston","genji|soldier76|tracer|zenyatta|dva|winston","3","0","0","0"
"2375","2","Attack","333","338","genji|soldier76|tracer|zenyatta|dva|winston","genji|tracer|mercy|zenyatta|dva|winston","3","0","0","0"
"2375","2","Defense","338","333","widowmaker|tracer|mercy|zenyatta|dva|winston","widowmaker|tracer|mercy|zenyatta|dva|winston","65","1","0","1"
"2375","2","Attack","333","338","widowmaker|tracer|mercy|zenyatta|dva|winston","widowmaker|tracer|mercy|zenyatta|dva|winston","65","1","1","0"
"2375","2","Defense","338","333","genji|tracer|mercy|zenyatta|dva|winston","widowmaker|tracer|mercy|zenyatta|dva|winston","51","1","1","0"
"2375","2","Attack","333","338","widowmaker|tracer|mercy|zenyatta|dva|winston","genji|tracer|mercy|zenyatta|dva|winston","51","1","0","1"
"2375","2","Defense","338","333","genji|tracer|mercy|zenyatta|dva|winston","sombra|tracer|mercy|zenyatta|dva|winston","6","0","0","0"
"2375","2","Attack","338","333","genji|tracer|mercy|zenyatta|dva|winston","junkrat|widowmaker|mercy|zenyatta|dva|orisa","352","8","2","5"
"2375","2","Defense","333","338","junkrat|widowmaker|mercy|zenyatta|dva|orisa","genji|tracer|mercy|zenyatta|dva|winston","352","8","5","2"
"2375","2","Attack","338","333","genji|tracer|mercy|zenyatta|dva|winston","junkrat|widowmaker|mercy|zenyatta|dva|winston","3","0","0","0"
"2375","2","Defense","333","338","junkrat|widowmaker|mercy|zenyatta|dva|winston","genji|tracer|mercy|zenyatta|dva|winston","3","0","0","0"
"2375","2","Attack","338","333","genji|tracer|mercy|zenyatta|dva|winston","junkrat|tracer|mercy|zenyatta|dva|winston","29","0","0","0"
"2375","2","Defense","333","338","junkrat|tracer|mercy|zenyatta|dva|winston","genji|tracer|mercy|zenyatta|dva|winston","29","0","0","0"
"2375","2","Attack","338","333","genji|tracer|mercy|zenyatta|dva|winston","genji|tracer|mercy|zenyatta|dva|winston","163","2","1","1"
"2375","2","Defense","333","338","genji|tracer|mercy|zenyatta|dva|winston","genji|tracer|mercy|zenyatta|dva|winston","163","2","1","1"
"2375","2","Attack","338","333","genji|tracer|mercy|zenyatta|dva|winston","genji|tracer|lucio|zenyatta|dva|winston","16","0","0","0"
"2375","2","Defense","333","338","genji|tracer|lucio|zenyatta|dva|winston","genji|tracer|mercy|zenyatta|dva|winston","16","0","0","0"
"2375","2","Defense","338","333","genji|tracer|mercy|zenyatta|dva|winston","junkrat|widowmaker|mercy|zenyatta|dva|winston","188","4","2","1"
"2375","2","Attack","333","338","junkrat|widowmaker|mercy|zenyatta|dva|winston","genji|tracer|mercy|zenyatta|dva|winston","188","4","1","2"
"2375","2","Defense","338","333","genji|tracer|mercy|zenyatta|dva|winston","widowmaker|genji|mercy|zenyatta|dva|winston","7","0","0","0"
"2375","2","Attack","333","338","widowmaker|genji|mercy|zenyatta|dva|winston","genji|tracer|mercy|zenyatta|dva|winston","7","0","0","0"
"2375","2","Defense","338","333","genji|tracer|mercy|zenyatta|dva|winston","genji|tracer|mercy|zenyatta|dva|winston","111","2","0","2"
"2375","2","Attack","333","338","genji|tracer|mercy|zenyatta|dva|winston","genji|tracer|mercy|zenyatta|dva|winston","111","2","2","0"
"2375","2","Attack","333","338","genji|tracer|mercy|zenyatta|dva|winston","junkrat|tracer|mercy|moira|dva|winston","11","0","0","0"
"2375","1","Defense","338","333","junkrat|mccree|mercy|zenyatta|dva|winston","genji|tracer|mercy|zenyatta|dva|winston","321","8","5","3"
"2375","1","Attack","333","338","genji|tracer|mercy|zenyatta|dva|winston","junkrat|mccree|mercy|zenyatta|dva|winston","321","8","3","5"
"2375","1","Defense","338","333","mccree|tracer|mercy|zenyatta|dva|winston","genji|tracer|mercy|zenyatta|dva|winston","33","1","0","1"
"2375","1","Attack","333","338","genji|tracer|mercy|zenyatta|dva|winston","mccree|tracer|mercy|zenyatta|dva|winston","33","1","1","0"
"2375","1","Attack","338","333","genji|mccree|mercy|zenyatta|dva|winston","genji|tracer|mercy|zenyatta|dva|winston","153","4","2","2"
"2375","1","Defense","333","338","genji|tracer|mercy|zenyatta|dva|winston","genji|mccree|mercy|zenyatta|dva|winston","153","4","2","2"
"2375","1","Attack","338","333","mccree|tracer|mercy|zenyatta|dva|winston","genji|tracer|mercy|zenyatta|dva|winston","242","5","1","3"
"2375","1","Defense","333","338","genji|tracer|mercy|zenyatta|dva|winston","mccree|tracer|mercy|zenyatta|dva|winston","242","5","3","1"
"2375","4","Attack","333","338","soldier76|tracer|mercy|zenyatta|dva|winston","widowmaker|tracer|mercy|zenyatta|dva|winston","71","1","0","0"
"2375","4","Attack","333","338","soldier76|tracer|lucio|zenyatta|dva|winston","soldier76|tracer|ana|mercy|dva|winston","3","0","0","0"
"2375","4","Defense","338","333","soldier76|tracer|ana|mercy|dva|winston","soldier76|tracer|mercy|zenyatta|dva|winston","94","2","1","1"
"2375","4","Defense","333","338","soldier76|tracer|mercy|zenyatta|dva|winston","mccree|tracer|mercy|zenyatta|dva|winston","152","2","2","0"
"2375","4","Defense","338","333","soldier76|tracer|ana|mercy|dva|winston","soldier76|tracer|lucio|zenyatta|dva|winston","3","0","0","0"
"2375","4","Attack","338","333","mccree|tracer|mercy|zenyatta|dva|winston","soldier76|tracer|mercy|zenyatta|dva|winston","152","2","0","2"
"2375","4","Attack","338","333","genji|tracer|mercy|zenyatta|dva|winston","soldier76|tracer|mercy|zenyatta|dva|winston","164","3","0","3"
"2375","4","Defense","333","338","soldier76|tracer|mercy|zenyatta|dva|winston","genji|tracer|mercy|zenyatta|dva|winston","164","3","3","0"
"2375","4","Attack","338","333","soldier76|tracer|mercy|zenyatta|dva|winston","soldier76|tracer|mercy|zenyatta|dva|winston","117","2","1","1"
"2375","4","Defense","333","338","soldier76|tracer|mercy|zenyatta|dva|winston","soldier76|tracer|mercy|zenyatta|dva|winston","117","2","1","1"
"2379","1","Attack","328","334","mccree|tracer|mercy|zenyatta|dva|winston","widowmaker|doomfist|mercy|zenyatta|dva|winston","120","2","0","2"
"2379","1","Defense","328","334","soldier76|tracer|mercy|zenyatta|dva|winston","genji|tracer|mercy|zenyatta|dva|winston","54","1","0","1"
"2379","1","Attack","334","328","genji|tracer|mercy|zenyatta|dva|winston","soldier76|tracer|mercy|zenyatta|dva|winston","54","1","1","0"
"2379","1","Attack","328","334","widowmaker|tracer|mercy|zenyatta|dva|winston","widowmaker|doomfist|mercy|zenyatta|dva|winston","140","2","0","2"
"2379","1","Defense","334","328","widowmaker|doomfist|mercy|zenyatta|dva|winston","widowmaker|tracer|mercy|zenyatta|dva|winston","140","2","2","0"
"2379","2","Defense","328","334","mccree|tracer|mercy|zenyatta|dva|winston","genji|tracer|lucio|zenyatta|dva|winston","20","1","0","1"
"2379","2","Attack","334","328","genji|tracer|lucio|zenyatta|dva|winston","junkrat|widowmaker|mercy|zenyatta|dva|orisa","59","2","1","1"
"2379","2","Defense","328","334","junkrat|widowmaker|mercy|zenyatta|dva|winston","genji|tracer|lucio|zenyatta|dva|winston","18","0","0","0"
"2379","2","Attack","334","328","genji|tracer|lucio|zenyatta|dva|winston","junkrat|widowmaker|mercy|zenyatta|dva|winston","18","0","0","0"
"2379","2","Attack","334","328","widowmaker|tracer|lucio|mercy|dva|winston","junkrat|widowmaker|mercy|zenyatta|dva|orisa","11","0","0","0"
"2379","2","Defense","328","334","junkrat|widowmaker|mercy|zenyatta|dva|orisa","genji|tracer|lucio|mercy|dva|winston","1","0","0","0"
"2379","2","Attack","334","328","genji|tracer|lucio|mercy|dva|winston","junkrat|widowmaker|mercy|zenyatta|dva|orisa","1","0","0","0"
